inv_name,def_date,def_time,pac,meta_upload_date,p_ges,p_gues
wr06,02.03.20,08:40:00,2254,20200302,2365.9247166666664,2365.9247166666664
wr06,02.03.20,08:45:00,2016,20200302,2032.3669449999998,2032.3669449999998
wr06,02.03.20,08:50:00,2709,20200302,2723.2375566666665,2723.2375566666665
wr06,02.03.20,08:55:00,2353,20200302,2364.3658349999996,2364.3658349999996
wr06,02.03.20,09:00:00,2045,20200302,2036.7003499999998,2036.7003499999998
wr06,02.03.20,09:05:00,2215,20200302,2273.8362849999994,2273.8362849999994
wr06,02.03.20,09:10:00,3890,20200302,4173.812701666666,4173.812701666666
wr06,02.03.20,09:15:00,3188,20200302,3410.6042599999996,3410.6042599999996
wr06,02.03.20,09:20:00,1890,20200302,1930.6105866666664,1930.6105866666664
wr06,02.03.20,09:25:00,2261,20200302,2413.1202166666662,2413.1202166666662
wr06,02.03.20,09:30:00,1472,20200302,1509.1833749999998,1509.1833749999998
wr06,02.03.20,09:35:00,1479,20200302,1723.15061,1723.15061
wr06,02.03.20,09:40:00,4911,20200302,5416.413009999999,5416.413009999999
wr06,02.03.20,09:45:00,5274,20200302,5840.357314999999,5840.357314999999
wr06,02.03.20,09:50:00,5372,20200302,5951.35255,5951.35255
wr06,02.03.20,09:55:00,5447,20200302,6108.227531666666,6108.227531666666
wr06,02.03.20,10:00:00,5611,20200302,6266.18944,6266.18944
wr06,02.03.20,10:05:00,5782,20200302,6399.066225,6399.066225
wr06,02.03.20,10:10:00,5963,20200302,6544.614286666666,6544.614286666666
wr06,02.03.20,10:15:00,6106,20200302,6643.410199999999,6643.410199999999
wr06,02.03.20,10:20:00,6266,20200302,6790.145299999999,6790.145299999999
wr06,02.03.20,10:25:00,6353,20200302,6930.859398333333,6930.859398333333
wr06,02.03.20,10:30:00,6502,20200302,7065.023333333333,7065.023333333333
wr06,02.03.20,10:35:00,6617,20200302,7192.93744,7192.93744
wr06,02.03.20,10:40:00,6716,20200302,7285.626541666666,7285.626541666666
wr06,02.03.20,10:45:00,6814,20200302,7356.090853333333,7356.090853333333
wr06,02.03.20,10:50:00,6912,20200302,7486.221718333332,7486.221718333332
wr06,02.03.20,10:55:00,6957,20200302,7564.723566666667,7564.723566666667
wr06,02.03.20,11:00:00,7101,20200302,7681.024719999999,7681.024719999999
wr06,02.03.20,11:05:00,7194,20200302,7759.841205,7759.841205
wr06,02.03.20,11:10:00,7241,20200302,7841.174783333333,7841.174783333333
wr06,02.03.20,11:15:00,7286,20200302,7944.575833333332,7944.575833333332
wr06,02.03.20,11:20:00,7347,20200302,8034.04706,8034.04706
wr06,02.03.20,11:25:00,7403,20200302,8084.803674999999,8084.803674999999
wr06,02.03.20,11:30:00,7421,20200302,8119.51382,8119.51382
wr06,02.03.20,11:35:00,7540,20200302,8191.880253333333,8191.880253333333
wr06,02.03.20,11:40:00,7573,20200302,8269.566906666667,8269.566906666667
wr06,02.03.20,11:45:00,7612,20200302,8313.244196666667,8313.244196666667
wr06,02.03.20,11:50:00,7632,20200302,8397.066265,8397.066265
wr06,02.03.20,11:55:00,7687,20200302,8473.952025,8473.952025
wr06,02.03.20,12:00:00,7132,20200302,7781.8371683333335,7781.8371683333335
wr06,02.03.20,12:05:00,6870,20200302,7395.9639,7395.9639
wr06,02.03.20,12:10:00,7557,20200302,8129.811019999999,8129.811019999999
wr06,02.03.20,12:15:00,7302,20200302,7876.471296666666,7876.471296666666
wr06,02.03.20,12:20:00,7787,20200302,8433.607023333334,8433.607023333334
wr06,02.03.20,12:25:00,7719,20200302,8442.788693333334,8442.788693333334
wr06,02.03.20,12:30:00,7513,20200302,8437.26825,8437.26825
wr06,02.03.20,12:35:00,7335,20200302,8217.165599999998,8217.165599999998
wr06,02.03.20,12:40:00,7121,20200302,8161.90396,8161.90396
wr06,02.03.20,12:45:00,7014,20200302,8113.621533333333,8113.621533333333
wr06,02.03.20,12:50:00,6601,20200302,7704.62247,7704.62247
wr06,02.03.20,12:55:00,6489,20200302,7712.00213,7712.00213
wr06,02.03.20,13:00:00,6290,20200302,7674.93221,7674.93221
wr06,02.03.20,13:05:00,5834,20200302,7127.7790466666665,7127.7790466666665
wr06,02.03.20,13:10:00,5936,20200302,7416.915841666666,7416.915841666666
wr06,02.03.20,13:15:00,5690,20200302,7335.8969,7335.8969
wr06,02.03.20,13:20:00,5990,20200302,7747.61328,7747.61328
wr06,02.03.20,13:25:00,5384,20200302,6947.9069850000005,6947.9069850000005
wr06,02.03.20,13:30:00,4904,20200302,6253.132018333333,6253.132018333333
wr06,02.03.20,13:35:00,4274,20200302,5268.2763466666665,5268.2763466666665
wr06,02.03.20,13:40:00,3455,20200302,4077.9200266666667,4077.9200266666667
wr06,02.03.20,13:45:00,3489,20200302,3816.957515,3816.957515
wr06,02.03.20,13:50:00,4128,20200302,4691.2327000000005,4691.2327000000005
wr06,02.03.20,13:55:00,4447,20200302,5113.76114,5113.76114
wr06,02.03.20,14:00:00,4600,20200302,5395.346654999999,5395.346654999999
wr06,02.03.20,14:05:00,4102,20200302,4629.4495,4629.4495
wr06,02.03.20,14:10:00,4145,20200302,4540.779166666666,4540.779166666666
wr06,02.03.20,14:15:00,4312,20200302,4633.74,4633.74
wr06,02.03.20,14:20:00,4047,20200302,4310.465126666667,4310.465126666667
wr06,02.03.20,14:25:00,3898,20200302,4087.058791666666,4087.058791666666
wr06,02.03.20,14:30:00,4280,20200302,4724.35536,4724.35536
wr06,02.03.20,14:35:00,5011,20200302,5968.428739999999,5968.428739999999
wr06,02.03.20,14:40:00,5612,20200302,7316.160599999999,7316.160599999999
wr06,02.03.20,14:45:00,5002,20200302,6882.891608333333,6882.891608333333
wr06,02.03.20,14:50:00,3995,20200302,5727.316941666667,5727.316941666667
wr06,02.03.20,14:55:00,3492,20200302,5160.956639999999,5160.956639999999
wr06,02.03.20,15:00:00,3100,20200302,4688.172143333333,4688.172143333333
wr06,02.03.20,15:05:00,3070,20200302,4705.248333333333,4705.248333333333
wr06,02.03.20,15:10:00,2706,20200302,4068.8241666666663,4068.8241666666663
wr06,02.03.20,15:15:00,2103,20200302,2878.7109749999995,2878.7109749999995
wr06,02.03.20,15:20:00,1924,20200302,2504.96552,2504.96552
wr06,02.03.20,15:25:00,2246,20200302,2977.3781733333335,2977.3781733333335
wr06,02.03.20,15:30:00,2520,20200302,3426.7365399999994,3426.7365399999994
wr06,02.03.20,15:35:00,2471,20200302,3680.4767099999995,3680.4767099999995
wr06,02.03.20,15:40:00,2266,20200302,3815.1126,3815.1126
wr06,02.03.20,15:45:00,1889,20200302,3497.1865499999994,3497.1865499999994
wr06,02.03.20,15:50:00,1563,20200302,3065.3477249999996,3065.3477249999996
wr06,02.03.20,15:55:00,1338,20200302,2679.274233333333,2679.274233333333
wr06,02.03.20,16:00:00,983,20200302,1940.2213066666666,1940.2213066666666
wr06,02.03.20,16:05:00,906,20200302,1536.0848099999998,1536.0848099999998
wr06,02.03.20,16:10:00,673,20200302,856.5554199999999,856.5554199999999
wr06,02.03.20,16:15:00,597,20200302,616.5448499999999,616.5448499999999
wr06,02.03.20,16:20:00,664,20200302,661.723815,661.723815
wr06,02.03.20,16:25:00,707,20200302,694.37452,694.37452
wr06,02.03.20,16:30:00,677,20200302,665.7425833333333,665.7425833333333
wr06,02.03.20,16:35:00,592,20200302,589.77213,589.77213
wr06,02.03.20,16:40:00,562,20200302,576.21415,576.21415
wr06,02.03.20,16:45:00,525,20200302,547.939755,547.939755
wr06,02.03.20,16:50:00,438,20200302,473.52818333333323,473.52818333333323
wr06,02.03.20,16:55:00,362,20200302,399.11661166666664,399.11661166666664
wr06,02.03.20,17:00:00,265,20200302,304.41097499999995,304.41097499999995
wr06,02.03.20,17:05:00,187,20200302,223.234715,223.234715
wr06,02.03.20,17:10:00,133,20200302,168.75966666666665,168.75966666666665
wr06,02.03.20,17:15:00,83,20200302,121.50695999999999,121.50695999999999
wr06,02.03.20,17:20:00,49,20200302,87.75502666666665,87.75502666666665
wr06,02.03.20,17:25:00,40,20200302,74.25425333333332,74.25425333333332
